date,open,high,low,close,range,gap,completed_legs,total_distance,efficiency_ratio,day_type,leg_sequence
2021-06-17,15680.2999,15769.2999,15616.7,15681.0,152.59989999999925,0.0,16,748.2996000000021,0.20392888089209033,Multi_Wave_Oscillating,"[np.float64(-10.4), np.float64(51.7), np.float64(-20.6), np.float64(73.7), np.float64(-70.5), np.float64(22.6)]"
2021-06-18,15757.7,15761.5,15450.8999,15720.6,310.60009999999966,76.70000000000073,39,1875.1995999999963,0.16563575418851426,Multi_Wave_Oscillating,"[np.float64(-6.3), np.float64(20.2), np.float64(-70.7), np.float64(61.4), np.float64(-53.1), np.float64(20.8)]"
2021-06-21,15530.8999,15765.1,15505.6,15750.2999,259.5,-189.70010000000002,24,1013.4000999999971,0.2560686544238556,Multi_Wave_Oscillating,"[np.float64(-24.5), np.float64(79.0), np.float64(-21.9), np.float64(22.4), np.float64(-30.9), np.float64(36.3)]"
2021-06-22,15844.1,15895.7,15752.1,15765.8999,143.60000000000036,93.80010000000038,20,712.6999999999989,0.20148730181001906,Multi_Wave_Oscillating,"[np.float64(-10.6), np.float64(68.5), np.float64(-22.8), np.float64(37.6), np.float64(-53.7), np.float64(36.6)]"
2021-06-23,15858.7999,15862.8999,15673.8999,15694.8999,189.0,92.89999999999964,25,1061.3001000000022,0.1780834657416876,Multi_Wave_Oscillating,"[np.float64(-55.7), np.float64(43.8), np.float64(-41.5), np.float64(37.9), np.float64(-48.2), np.float64(28.4)]"
2021-06-24,15738.3999,15821.3999,15702.7,15794.5,118.69989999999962,43.5,20,711.6001999999971,0.1668070076427748,Multi_Wave_Oscillating,"[np.float64(-24.6), np.float64(33.6), np.float64(-20.6), np.float64(47.0), np.float64(-35.3), np.float64(34.4)]"
2021-06-25,15827.7999,15870.7999,15772.2999,15847.2,98.5,33.29989999999998,18,679.8004000000019,0.1448954722592098,Multi_Wave_Oscillating,"[np.float64(-23.6), np.float64(37.5), np.float64(-57.8), np.float64(53.9), np.float64(-54.2), np.float64(22.0)]"
2021-06-28,15915.6,15917.8999,15792.1,15824.7,125.79989999999998,68.39999999999964,19,662.4002000000019,0.18991525062945275,Multi_Wave_Oscillating,"[np.float64(-14.3), np.float64(23.9), np.float64(-38.9), np.float64(39.3), np.float64(-55.5), np.float64(23.7)]"
2021-06-29,15818.5,15835.8999,15724.0,15749.2999,111.89990000000034,-6.200000000000728,15,625.4999000000025,0.178896751222502,Multi_Wave_Oscillating,"[np.float64(-25.5), np.float64(42.3), np.float64(-29.0), np.float64(35.7), np.float64(-79.6), np.float64(20.6)]"
2021-06-30,15764.2999,15839.1,15708.7,15729.7999,130.39999999999964,15.0,10,424.60039999999935,0.307112287223469,Multi_Wave_Oscillating,"[np.float64(21.2), np.float64(-38.2), np.float64(63.4), np.float64(-21.0), np.float64(22.4), np.float64(-64.8)]"
2021-07-01,15754.6,15758.2,15667.0,15693.0,91.20000000000073,24.800100000000384,13,488.20020000000295,0.18680860843563804,Multi_Wave_Oscillating,"[np.float64(-33.7), np.float64(27.4), np.float64(-29.0), np.float64(35.7), np.float64(-40.5), np.float64(23.2)]"
2021-07-02,15708.3999,15738.2999,15635.8999,15729.5,102.39999999999964,15.399900000000343,13,513.0998999999974,0.19957127257284624,Multi_Wave_Oscillating,"[np.float64(-18.4), np.float64(21.9), np.float64(-40.0), np.float64(25.0), np.float64(-33.5), np.float64(38.9)]"
2021-07-05,15793.8999,15845.8999,15762.0,15841.8999,83.89990000000034,64.39990000000034,5,203.3003000000008,0.4126895041473132,Multi_Wave_Oscillating,"[np.float64(-9.6), np.float64(71.2), np.float64(-30.8), np.float64(32.6), np.float64(-24.1)]"
2021-07-06,15816.7,15914.2,15801.0,15815.5,113.20000000000073,-25.199899999999616,10,480.40040000000226,0.23563677299186303,Multi_Wave_Oscillating,"[np.float64(41.5), np.float64(-27.3), np.float64(61.5), np.float64(-35.3), np.float64(39.8), np.float64(-65.9)]"
2021-07-07,15816.5,15893.5,15779.7,15879.7,113.79999999999927,1.0,13,524.6998000000003,0.21688592219779615,Multi_Wave_Oscillating,"[np.float64(-13.0), np.float64(20.1), np.float64(-26.0), np.float64(71.2), np.float64(-55.3), np.float64(32.2)]"
2021-07-08,15853.6,15885.7,15682.8999,15728.0,202.80010000000038,-26.100000000000364,15,635.3008000000027,0.3192190219184354,Multi_Wave_Oscillating,"[np.float64(16.9), np.float64(-63.5), np.float64(23.1), np.float64(-66.5), np.float64(21.8), np.float64(-60.8)]"
2021-07-09,15684.3999,15730.7999,15632.7,15698.6,98.09989999999925,-43.60009999999966,16,705.6997999999985,0.13901080884534678,Multi_Wave_Oscillating,"[np.float64(-38.0), np.float64(33.0), np.float64(-32.9), np.float64(37.1), np.float64(-29.6), np.float64(51.0)]"
2021-07-12,15766.6,15789.1,15644.7,15689.3999,144.39999999999964,68.0,13,600.5002999999997,0.24046615796861334,Multi_Wave_Oscillating,"[np.float64(6.3), np.float64(-32.6), np.float64(34.5), np.float64(-32.1), np.float64(28.7), np.float64(-21.2)]"
2021-07-13,15792.2,15820.7999,15744.6,15808.3999,76.19989999999962,102.80010000000038,7,257.0000999999993,0.2964975500009526,Multi_Wave_Oscillating,"[np.float64(-15.3), np.float64(29.2), np.float64(-32.5), np.float64(67.6), np.float64(-24.5), np.float64(27.9)]"
2021-07-14,15802.0,15877.2999,15764.2,15845.7,113.09989999999925,-6.399900000000343,10,397.09969999999703,0.2848148714290142,Multi_Wave_Oscillating,"[np.float64(-13.6), np.float64(27.4), np.float64(-43.3), np.float64(24.1), np.float64(-28.2), np.float64(113.1)]"
2021-07-15,15868.7,15952.2999,15855.0,15919.2999,97.29989999999998,23.0,9,317.8003000000026,0.30616679719937073,Multi_Wave_Oscillating,"[np.float64(8.5), np.float64(-20.4), np.float64(35.9), np.float64(-20.3), np.float64(64.7), np.float64(-37.3)]"
2021-07-16,15961.7999,15962.2,15882.5,15922.3999,79.70000000000073,42.5,10,408.2997000000014,0.19519975155504757,Multi_Wave_Oscillating,"[np.float64(-14.3), np.float64(31.4), np.float64(-54.7), np.float64(40.9), np.float64(-23.8), np.float64(20.5)]"
2021-07-19,15754.2999,15836.8999,15707.5,15759.8999,129.39990000000034,-168.10000000000036,10,477.2999,0.2711081649084786,Multi_Wave_Oscillating,"[np.float64(6.2), np.float64(-22.8), np.float64(60.7), np.float64(-33.9), np.float64(37.5), np.float64(-28.1)]"
2021-07-20,15703.3999,15728.3999,15578.5,15622.3999,149.89990000000034,-56.5,25,931.4991999999966,0.16092327293464223,Multi_Wave_Oscillating,"[np.float64(6.2), np.float64(-47.1), np.float64(25.8), np.float64(-61.7), np.float64(24.3), np.float64(-27.3)]"
2021-07-22,15739.8999,15834.7999,15726.3999,15828.7,108.39999999999964,117.5,11,424.6995000000006,0.25523929272344204,Multi_Wave_Oscillating,"[np.float64(-12.1), np.float64(36.0), np.float64(-21.2), np.float64(58.5), np.float64(-24.2), np.float64(40.4)]"
2021-07-23,15845.7999,15899.7999,15768.2999,15849.7,131.5,17.099899999999252,15,721.6995000000006,0.18220880020008312,Multi_Wave_Oscillating,"[np.float64(27.5), np.float64(-108.1), np.float64(50.1), np.float64(-42.8), np.float64(73.2), np.float64(-21.4)]"
2021-07-26,15862.7999,15893.2999,15797.0,15820.3999,96.29989999999998,13.099899999999252,14,563.7994999999992,0.17080522419760946,Multi_Wave_Oscillating,"[np.float64(-16.3), np.float64(37.4), np.float64(-30.5), np.float64(73.2), np.float64(-46.0), np.float64(49.6)]"
2021-07-27,15860.2999,15881.5,15700.8999,15745.8999,180.60009999999966,39.899999999999636,12,589.7001999999993,0.30625748473546366,Multi_Wave_Oscillating,"[np.float64(6.4), np.float64(-27.4), np.float64(22.3), np.float64(-31.5), np.float64(33.7), np.float64(-51.2)]"
2021-07-28,15767.3999,15770.1,15513.3999,15713.8999,256.7001,21.5,19,978.9991999999947,0.26220664940277927,Multi_Wave_Oscillating,"[np.float64(-47.6), np.float64(30.2), np.float64(-60.1), np.float64(36.1), np.float64(-79.1), np.float64(21.6)]"
2021-07-29,15759.5,15817.2999,15737.7999,15783.1,79.5,45.60009999999966,15,516.6993000000002,0.1538612496668758,Multi_Wave_Oscillating,"[np.float64(12.5), np.float64(-38.8), np.float64(25.8), np.float64(-35.1), np.float64(44.5), np.float64(-35.2)]"
2021-07-30,15807.2,15862.7999,15744.7999,15774.8999,118.0,24.100000000000364,15,622.1006000000034,0.1896799327954343,Multi_Wave_Oscillating,"[np.float64(-39.3), np.float64(55.4), np.float64(-23.7), np.float64(23.7), np.float64(-33.8), np.float64(21.1)]"
2021-08-02,15872.6,15892.8999,15834.6,15887.7,58.29989999999998,97.70010000000002,7,268.2996000000003,0.21729402503768144,Multi_Wave_Oscillating,"[np.float64(-9.2), np.float64(37.2), np.float64(-26.3), np.float64(38.2), np.float64(-24.6), np.float64(30.8)]"
