Entry_Time,Type,Is_Short,Trade_Type,Option_Symbol,Strike,Expiry,Strategy,Entry_Price,Qty,Target_Price,SL_Price,Initial_SL,Spot_ATR,Entry_Spot,Max_Favorable_Excursion,Trailing_Trigger_Points,Trailing_Jump_Points,exit_mode,spot_sl_price,spot_target_price,spot_initial_sl,spot_mfe,spot_atr,Breakeven_Mult,Initial_SL_Points,Breakeven_Triggered,Max_Loss_INR,Regime_Trend,Regime_Vol,Exit_Time,Exit_Price,Exit_Spot,Gross_PnL,Charges,PnL,Exit_Reason,Max_Excursion_Pts,Active_Strategy,Entry_Time_DT
2026-07-20 09:36:00,CE,True,SELL,NIFTY 24200 CE,24200,2026-07-21,Strategy_22,75.12,65,0.05,111.12,111.12,30.514285714286025,24183.95,47.4,38.1,0.0,POINTS,0.0,0.0,0.0,24183.95,30.514285714286025,0.0,36.0,False,0.0,NEUTRAL,HIGH_VIX,2026-07-20 13:40:00,102.11,24238.9,-1754.35,60.04,-1814.39,Strategy_Exit,27.72,Strategy_22,2026-07-20 09:36:00
2026-07-20 11:36:00,CE,True,SELL,NIFTY 24200 CE,24200,2026-07-21,Strategy_3,72.34,65,0.05,108.34,108.34,21.087518536438733,24199.0,47.4,26.4,0.0,POINTS,0.0,0.0,0.0,24199.0,21.087518536438733,0.0,36.0,False,0.0,TREND,HIGH_VIX,2026-07-20 13:27:00,108.88,24243.65,-2375.1,60.15,-2435.25,StopLoss,24.94,Strategy_3,2026-07-20 11:36:00
2026-07-20 13:41:00,PE,True,SELL,NIFTY 24250 PE,24250,2026-07-21,Strategy_22,83.18,65,0.05,119.18,119.18,19.12823191222945,24238.9,42.35,23.9,0.0,POINTS,0.0,0.0,0.0,24238.9,19.12823191222945,0.0,36.0,False,0.0,TREND,HIGH_VIX,2026-07-21 13:00:00,119.78,24139.4,-2379.0,61.74,-2440.74,StopLoss,40.83,Strategy_22,2026-07-20 13:41:00
2026-07-21 10:21:00,CE,True,SELL,NIFTY 24200 CE,24200,2026-07-28,Strategy_22,163.73,65,79.72999999999999,199.73,199.73,17.79827066280122,24205.45,130.2,22.2,0.0,POINTS,0.0,0.0,0.0,24205.45,17.79827066280122,0.0,36.0,False,0.0,TREND,HIGH_VIX,2026-07-21 15:20:00,148.34,24186.75,1000.35,72.72,927.63,Strategy_Exit,33.53,Strategy_22,2026-07-21 10:21:00
2026-07-22 09:27:00,CE,True,SELL,NIFTY 24100 CE,24100,2026-07-28,Strategy_3,135.77,65,51.77000000000001,171.77,171.77,21.629210865006698,24076.5,93.0,27.0,0.0,POINTS,0.0,0.0,0.0,24076.5,21.629210865006698,0.0,36.0,False,0.0,NEUTRAL,HIGH_VIX,2026-07-23 09:15:00,50.17,23894.6,5564.0,66.28,5497.72,GapDown_Target,42.77,Strategy_3,2026-07-22 09:27:00
2026-07-23 09:31:00,CE,True,SELL,NIFTY 23900 CE,23900,2026-07-28,Strategy_3,148.55,65,64.55000000000001,184.55,184.55,24.943051594478582,23916.0,135.35,31.2,0.0,POINTS,0.0,0.0,0.0,23916.0,24.943051594478582,0.0,36.0,False,0.0,RANGE,HIGH_VIX,2026-07-23 10:50:00,185.47,23981.4,-2399.8,71.32,-2471.12,StopLoss,13.2,Strategy_3,2026-07-23 09:31:00
2026-07-23 11:41:00,CE,True,SELL,NIFTY 23950 CE,23950,2026-07-28,Strategy_22,126.86,65,42.86,162.86,162.86,16.562088032026978,23944.55,74.0,20.7,0.0,POINTS,0.0,0.0,0.0,23944.55,16.562088032026978,0.0,36.000000000000014,False,0.0,RANGE,HIGH_VIX,2026-07-24 09:15:00,0.1,23692.5,8239.4,63.67,8175.73,GapDown_Target,52.86,Strategy_22,2026-07-23 11:41:00
2026-07-24 12:36:00,PE,True,SELL,NIFTY 23750 PE,23750,2026-07-28,Strategy_22,103.63,65,19.629999999999995,139.63,139.63,22.71414034043618,23765.35,19.85,28.4,0.0,POINTS,0.0,0.0,0.0,23765.35,22.71414034043618,0.0,36.0,False,0.0,TREND,HIGH_VIX,2026-07-27 09:22:00,19.73,23936.0,5453.5,61.57,5391.93,Target,83.78,Strategy_22,2026-07-24 12:36:00
2026-07-27 09:16:00,PE,True,SELL,NIFTY 23950 PE,23950,2026-07-28,Strategy_3,77.21,65,0.05,113.21,113.21,19.70385834603292,23941.05,66.2,24.6,0.0,POINTS,0.0,0.0,0.0,23941.05,19.70385834603292,0.0,36.0,False,0.0,RANGE,HIGH_VIX,2026-07-27 10:03:00,113.78,23923.7,-2377.05,61.42,-2438.47,StopLoss,11.01,Strategy_3,2026-07-27 09:16:00
2026-07-28 09:18:00,PE,True,SELL,NIFTY 24050 PE,24050,2026-08-04,Strategy_3,153.18,65,69.18,189.18,189.18,13.675893279274584,24029.55,73.0,17.1,0.0,POINTS,0.0,0.0,0.0,24029.55,13.675893279274584,0.0,36.0,False,0.0,NEUTRAL,LOW_VIX,2026-07-29 09:21:00,69.53,24175.15,5437.25,69.28,5367.97,Target,80.18,Strategy_3,2026-07-28 09:18:00
2026-07-28 13:21:00,CE,True,SELL,NIFTY 24000 CE,24000,2026-08-04,Strategy_22,152.24,65,68.24000000000001,188.24,188.24,13.472912586748084,23976.05,150.2,16.8,0.0,POINTS,0.0,0.0,0.0,23976.05,13.472912586748084,0.0,36.0,False,0.0,RANGE,LOW_VIX,2026-07-29 09:15:00,242.21,24166.15,-5848.05,73.97,-5922.02,GapUp_SL,2.04,Strategy_22,2026-07-28 13:21:00
2026-07-29 13:15:00,PE,True,SELL,NIFTY 24250 PE,24250,2026-08-04,Strategy_3,132.53,65,48.53,168.53,168.53,13.441264941004471,24257.55,48.75,16.8,0.0,POINTS,0.0,0.0,0.0,24257.55,13.441264941004471,0.0,36.0,False,0.0,NEUTRAL,LOW_VIX,2026-07-31 12:07:00,48.77,24372.9,5444.4,66.15,5378.25,Target,83.78,Strategy_3,2026-07-29 13:15:00
2026-07-30 09:17:00,CE,True,SELL,NIFTY 24200 CE,24200,2026-08-04,Strategy_3,118.55,65,34.55,154.55,154.55,13.499825590681425,24221.3,118.55,16.9,0.0,POINTS,0.0,0.0,0.0,24221.3,13.499825590681425,0.0,36.000000000000014,False,0.0,NEUTRAL,LOW_VIX,2026-07-30 09:26:00,155.32,24277.1,-2390.05,67.68,-2457.73,StopLoss,0.0,Strategy_3,2026-07-30 09:17:00
2026-07-30 11:26:00,PE,True,SELL,NIFTY 24250 PE,24250,2026-08-04,Strategy_22,114.28,65,30.28,150.28,150.28,17.21266041774941,24267.6,83.15,21.5,0.0,POINTS,0.0,0.0,0.0,24267.6,17.21266041774941,0.0,36.0,False,0.0,RANGE,HIGH_VIX,2026-07-30 15:10:00,91.81,24320.85,1460.55,64.83,1395.72,Strategy_Exit,31.13,Strategy_22,2026-07-30 11:26:00
2026-07-30 14:31:00,CE,True,SELL,NIFTY 24250 CE,24250,2026-08-04,Strategy_22,98.26,65,14.260000000000005,134.26,134.26,17.102342768915484,24230.75,98.25,21.4,0.0,POINTS,0.0,0.0,0.0,24230.75,17.102342768915484,0.0,35.999999999999986,False,0.0,RANGE,HIGH_VIX,2026-07-30 15:05:00,134.93,24313.45,-2383.55,64.57,-2448.12,StopLoss,0.01,Strategy_22,2026-07-30 14:31:00
2026-07-31 12:15:00,PE,True,SELL,NIFTY 24400 PE,24400,2026-08-04,Strategy_3,101.79,65,17.790000000000006,137.79000000000002,137.79000000000002,13.614357319047652,24382.1,18.15,17.0,0.0,POINTS,0.0,0.0,0.0,24382.1,13.614357319047652,0.0,36.000000000000014,False,0.0,RANGE,LOW_VIX,2026-08-03 09:35:00,17.88,24552.4,5454.15,61.47,5392.68,Target,83.64,Strategy_3,2026-07-31 12:15:00
2026-08-04 10:32:00,CE,True,SELL,NIFTY 24600 CE,24600,2026-08-11,Strategy_3,142.24,65,58.24000000000001,178.24,178.24,22.255201089421014,24585.35,92.35,27.8,0.0,POINTS,0.0,0.0,0.0,24585.35,22.255201089421014,0.0,36.0,False,0.0,RANGE,HIGH_VIX,2026-08-05 09:15:00,185.09,24646.15,-2785.25,71.14,-2856.39,GapUp_SL,49.89,Strategy_3,2026-08-04 10:32:00
2026-08-04 10:46:00,CE,True,SELL,NIFTY 24600 CE,24600,2026-08-11,Strategy_22,141.19,65,57.19,177.19,177.19,19.795053496158257,24581.7,92.35,24.7,0.0,POINTS,0.0,0.0,0.0,24581.7,19.795053496158257,0.0,36.0,False,0.0,RANGE,HIGH_VIX,2026-08-05 09:15:00,185.86,24646.15,-2903.55,71.13,-2974.68,GapUp_SL,48.84,Strategy_22,2026-08-04 10:46:00
2026-08-06 11:19:00,PE,True,SELL,NIFTY 24650 PE,24650,2026-08-11,Strategy_3,117.56,65,33.56,153.56,153.56,16.254277232672187,24659.6,99.0,20.3,0.0,POINTS,0.0,0.0,0.0,24659.6,16.254277232672187,0.0,36.0,False,0.0,NEUTRAL,LOW_VIX,2026-08-07 09:15:00,178.8,24585.4,-3980.6,67.3,-4047.9,GapUp_SL,18.56,Strategy_3,2026-08-06 11:19:00
