Cycle,Entry_Timestamp,Exit_Timestamp,Stance,Entry_Spot,Exit_Spot,Monthly_Long_Symbol,Monthly_Long_Status,Weekly_Short1_Strike,Weekly_Short1_PnL_Pts,Weekly_Short2_Strike,Weekly_Short2_PnL_Pts,Monthly_Long_PnL_Pts,Net_Cycle_PnL_Pts,Net_Cycle_PnL_Rs
1,2025-11-06 09:20,2025-11-13 15:20,PUT_CALENDAR,25673.15,25881.25,NIFTY PE 25700 (MONTHLY),MONTHLY_KEPT_OPEN (Week 1),25750,136.9,25800,164.95,0.0,301.85,19620.25
2,2025-11-13 09:20,2025-11-20 15:20,PUT_CALENDAR,25826.9,26196.6,NIFTY PE 25700 (MONTHLY),MONTHLY_KEPT_OPEN (Week 2),25900,147.2,26200,358.69999999999857,0.0,505.89999999999856,32883.499999999905
3,2025-11-20 09:20,2025-11-27 15:20,PUT_CALENDAR,26099.95,26226.2,NIFTY PE 25700 (MONTHLY),MONTHLY_KEPT_OPEN (Week 3),26150,142.9,26400,137.75000000000074,0.0,280.6500000000008,18242.25000000005
4,2025-11-27 09:20,2025-12-04 15:20,PUT_CALENDAR,26253.3,26032.5,NIFTY PE 25700 (CLOSED),MONTHLY_EXPIRED_AND_CLOSED (Held 4 Wks),26350,-170.1,26500,-220.8,-528.0,-918.9,-59728.5
5,2025-12-04 09:20,2025-12-11 15:20,PUT_CALENDAR,25948.6,25898.4,NIFTY PE 26050 (MONTHLY),MONTHLY_KEPT_OPEN (Week 1),26050,8.600000000001444,26300,-49.44999999999857,0.0,-40.849999999997124,-2655.249999999813
6,2025-12-11 09:20,2025-12-18 15:20,PUT_CALENDAR,25774.75,25818.85,NIFTY PE 26050 (MONTHLY),MONTHLY_KEPT_OPEN (Week 2),25800,137.3,26100,73.34999999999854,0.0,210.64999999999856,13692.249999999905
7,2025-12-18 09:20,2025-12-26 15:20,PUT_CALENDAR,25777.5,26041.0,NIFTY PE 26050 (MONTHLY),MONTHLY_KEPT_OPEN (Week 3),25900,160.7,26000,231.7,0.0,392.4,25506.0
8,2025-12-30 09:20,2026-01-06 15:20,PUT_CALENDAR,25890.55,26184.25,NIFTY PE 26050 (CLOSED),MONTHLY_EXPIRED_AND_CLOSED (Held 4 Wks),26000,153.15,26200,290.9,-598.8,-154.75,-10058.75
9,2026-01-06 09:20,2026-01-13 15:20,PUT_CALENDAR,26198.05,25730.9,NIFTY PE 26300 (MONTHLY),MONTHLY_KEPT_OPEN (Week 1),26300,-419.09999999999854,26300,-419.09999999999854,0.0,-838.1999999999971,-54482.99999999981
10,2026-01-13 09:20,2026-01-21 15:20,PUT_CALENDAR,25822.35,25154.25,NIFTY PE 26300 (MONTHLY),MONTHLY_KEPT_OPEN (Week 2),25850,-542.95,25950,-588.7,0.0,-1131.65,-73557.25
11,2026-01-22 09:20,2026-01-30 15:20,PUT_CALENDAR,25329.3,25326.3,NIFTY PE 26300 (MONTHLY),MONTHLY_KEPT_OPEN (Week 3),25400,87.34999999999928,25600,23.69999999999925,0.0,111.04999999999853,7218.2499999999045
12,2026-02-03 09:20,2026-02-10 15:20,PUT_CALENDAR,25852.25,25916.1,NIFTY PE 25500 (MONTHLY),MONTHLY_KEPT_OPEN (Week 1),25500,189.45,25900,344.95,0.0,534.4,34736.0
13,2026-02-10 09:20,2026-02-17 15:20,PUT_CALENDAR,25910.5,25728.65,NIFTY PE 25500 (MONTHLY),MONTHLY_KEPT_OPEN (Week 2),25950,-71.79999999999853,26050,-118.49999999999855,0.0,-190.29999999999708,-12369.49999999981
14,2026-02-17 09:20,2026-02-24 15:20,PUT_CALENDAR,25580.45,25438.95,NIFTY PE 25500 (MONTHLY),MONTHLY_KEPT_OPEN (Week 3),25550,37.95000000000073,25900,-101.04999999999927,0.0,-63.099999999998545,-4101.499999999905
15,2026-02-24 09:20,2026-03-04 15:20,PUT_CALENDAR,25571.75,24458.0,NIFTY PE 25500 (CLOSED),MONTHLY_EXPIRED_AND_CLOSED (Held 4 Wks),25700,-1092.6,25650,-986.25,2557.6499999999996,478.7999999999997,31121.99999999998
16,2026-03-05 09:20,2026-03-12 15:20,PUT_CALENDAR,24571.8,23643.0,NIFTY PE 24350 (MONTHLY),MONTHLY_KEPT_OPEN (Week 1),24300,-504.35,24950,-842.95,0.0,-1347.3000000000002,-87574.50000000001
17,2026-03-12 09:20,2026-03-19 15:20,PUT_CALENDAR,23594.35,23071.85,NIFTY PE 24350 (MONTHLY),MONTHLY_KEPT_OPEN (Week 2),23150,54.69999999999854,23900,-398.15000000000146,0.0,-343.4500000000029,-22324.25000000019
18,2026-03-19 09:20,2026-03-27 15:20,PUT_CALENDAR,23280.4,22819.0,NIFTY PE 24350 (MONTHLY),MONTHLY_KEPT_OPEN (Week 3),23050,-79.65,23600,-354.0,0.0,-433.65,-28187.25
19,2026-04-02 09:20,2026-04-10 15:20,PUT_CALENDAR,22229.2,24057.6,NIFTY PE 22000 (MONTHLY),MONTHLY_KEPT_OPEN (Week 1),21850,155.0,22550,464.7,0.0,619.7,40280.5
