entry_date,exit_date,stance,entry_spot,exit_spot,long_symbol,long_entry,long_exit,short1_entry,short1_exit,short2_entry,short2_exit,net_pnl_pts,net_pnl_rs,cum_pnl,peak,drawdown
2026-03-12,2026-03-24,PUT_CALENDAR,23639.15,22912.4,NIFTY30DEC22500PE,219.35,219.35,151.55,487.59999999999854,342.35,937.5999999999985,-931.299999999997,-60534.4999999998,-931.299999999997,-931.299999999997,0.0
2026-04-02,2026-04-21,PUT_CALENDAR,22713.1,24576.6,NIFTY30DEC22500PE,219.35,219.35,152.75,0.0,352.15,0.0,504.9,32818.5,-426.399999999997,-426.399999999997,0.0
2026-05-12,2026-06-02,PUT_CALENDAR,23379.55,23483.55,NIFTY30DEC22500PE,219.35,219.35,164.75,66.45000000000073,367.7,266.4500000000007,199.54999999999853,12970.749999999905,-226.8499999999985,-226.8499999999985,0.0
