entry_time,exit_time,stance,entry_spot,exit_spot,strike_long,strike_short1,strike_short2,net_pnl_pts,net_pnl_rs,cum_pnl,peak,drawdown
2021-06-17 09:20,2021-06-24 15:20,PUT_CALENDAR,15674.7,15785.7999,15350,15500,15050,71.35896560933179,4638.332764606566,71.35896560933179,71.35896560933179,0.0
2021-06-29 09:20,2021-07-06 15:20,PUT_CALENDAR,15820.8999,15818.6,15500,15650,15200,150.17191968243196,9761.174779358078,221.53088529176375,221.53088529176375,0.0
2021-07-08 09:20,2021-07-15 15:20,PUT_CALENDAR,15861.2999,15922.2,15550,15700,15250,114.82227162122717,7463.447655379767,336.3531569129909,336.3531569129909,0.0
2021-07-20 09:20,2021-07-28 15:20,PUT_CALENDAR,15690.2,15716.8999,15400,15550,15100,148.29856746448195,9639.406885191327,484.6517243774729,484.6517243774729,0.0
2021-07-29 09:20,2021-08-05 15:20,PUT_CALENDAR,15782.7,16284.3999,15500,15650,15200,-48.06566743506551,-3124.268383279258,436.58605694240737,484.6517243774729,-48.06566743506551
2021-08-10 09:20,2021-08-17 15:20,PUT_CALENDAR,16301.2999,16620.5,16000,16150,15700,4.776018779351261,310.441220657832,441.36207572175863,484.6517243774729,-43.289648655714245
2021-08-24 09:20,2021-08-31 15:20,PUT_CALENDAR,16527.5,17147.9,16250,16400,15950,-58.93288882423758,-3830.6377735754427,382.42918689752105,484.6517243774729,-102.22253747995182
2021-09-02 09:20,2021-09-09 15:20,PUT_CALENDAR,17107.7999,17374.7,16800,16950,16500,40.00798267169466,2600.518873660153,422.4371695692157,484.6517243774729,-62.21455480825716
2021-09-14 09:20,2021-09-21 15:20,PUT_CALENDAR,17418.2999,17575.0999,17100,17250,16800,96.62870008494565,6280.865505521468,519.0658696541614,519.0658696541614,0.0
2021-09-23 09:20,2021-09-29 15:20,PUT_CALENDAR,17663.0,17706.7,17350,17500,17050,179.97745945996485,11698.534864897716,699.0433291141262,699.0433291141262,0.0
2021-09-30 09:20,2021-10-07 15:20,PUT_CALENDAR,17697.5,17785.8496,17400,17550,17100,160.83281438476115,10454.132935009475,859.8761434988874,859.8761434988874,0.0
2021-10-12 09:20,2021-10-20 15:20,PUT_CALENDAR,17970.5,18266.9004,17650,17800,17350,41.53361416673761,2699.6849208379444,901.409757665625,901.409757665625,0.0
2021-10-21 09:20,2021-10-28 15:20,PUT_CALENDAR,18332.6992,17839.5508,18050,18200,17750,534.9428798757854,34771.28719192605,1436.3526375414103,1436.3526375414103,0.0
2021-11-02 09:20,2021-11-10 15:20,PUT_CALENDAR,17981.4004,18018.3008,17700,17850,17400,220.43525231969124,14328.29140077993,1656.7878898611016,1656.7878898611016,0.0
2021-11-11 09:20,2021-11-17 15:20,PUT_CALENDAR,17953.9004,17888.1992,17650,17800,17350,287.5995086448165,18693.968061913074,1944.387398505918,1944.387398505918,0.0
2021-11-18 09:20,2021-11-26 15:20,PUT_CALENDAR,17920.8496,17022.8008,17600,17750,17300,633.217697968712,41159.15036796628,2577.60509647463,2577.60509647463,0.0
2021-11-30 09:20,2021-12-07 15:20,PUT_CALENDAR,17175.3008,17183.6992,16900,17050,16600,222.40194533103295,14456.12644651714,2800.007041805663,2800.007041805663,0.0
2021-12-09 09:20,2021-12-16 15:20,PUT_CALENDAR,17489.1504,17257.9004,17200,17350,16900,373.0868336084868,24250.644184551642,3173.09387541415,3173.09387541415,0.0
2021-12-21 09:20,2021-12-28 15:20,PUT_CALENDAR,16791.25,17241.3008,16500,16650,16200,-23.080496871721834,-1500.2322966619192,3150.0133785424277,3173.09387541415,-23.08049687172206
2021-12-30 09:20,2022-01-06 15:20,PUT_CALENDAR,17207.0996,17752.8496,16900,17050,16600,-42.89448523201054,-2788.141540080685,3107.118893310417,3173.09387541415,-65.9749821037326
2022-01-11 09:20,2022-01-18 15:20,PUT_CALENDAR,18004.5508,18107.4492,17700,17850,17400,155.1832733400197,10086.91276710128,3262.302166650437,3262.302166650437,0.0
2022-01-20 09:20,2022-01-27 15:20,PUT_CALENDAR,17897.9492,17109.1992,17600,17750,17300,607.4354285400423,39483.302855102746,3869.737595190479,3869.737595190479,0.0
2022-02-01 09:20,2022-02-07 15:20,PUT_CALENDAR,17488.0996,17191.4492,17200,17350,16900,392.88529226853916,25537.543997455046,4262.622887459018,4262.622887459018,0.0
2022-02-08 09:20,2022-02-15 15:20,PUT_CALENDAR,17279.9004,17370.6992,17000,17150,16700,159.19405489560813,10347.613568214529,4421.816942354626,4421.816942354626,0.0
2022-02-17 09:20,2022-02-24 15:20,PUT_CALENDAR,17438.0,16226.5498,17150,17300,16850,828.842580883962,53874.76775745753,5250.659523238588,5250.659523238588,0.0
2022-03-03 09:20,2022-03-10 15:20,PUT_CALENDAR,16715.8008,16593.4492,16400,16550,16100,286.5705857243047,18627.088072079805,5537.230108962893,5537.230108962893,0.0
